time,Latitud,Longitud,Tiempo_Medicion,Vel_Viento,Direccion_Viento,Direccion_Viento_Modelo
2026-05-11,7.625,-85.625,2026-05-11 23:36:32,2.3000000000000003,340.5,339.70000000000005
2026-05-11,7.625,-85.375,2026-05-11 23:36:32,2.43,24.1,1.1
2026-05-11,7.625,-85.125,2026-05-11 23:36:32,2.36,26.6,9.9
2026-05-11,7.625,-84.875,2026-05-11 23:36:32,2.02,33.300000000000004,20.1
2026-05-11,7.625,-84.625,2026-05-11 23:34:24,1.85,55.0,32.6
2026-05-11,7.625,-84.375,2026-05-11 23:34:24,2.18,65.2,39.7
2026-05-11,7.625,-84.125,2026-05-11 23:34:24,2.43,68.5,43.1
2026-05-11,7.625,-83.875,2026-05-11 23:34:24,2.57,82.5,50.900000000000006
2026-05-11,7.625,-83.625,2026-05-11 23:34:24,2.96,83.80000000000001,50.800000000000004
2026-05-11,7.625,-83.375,2026-05-11 23:34:24,3.4,72.3,41.2
2026-05-11,7.625,-83.125,2026-05-11 23:34:24,3.71,66.8,35.9
2026-05-11,7.625,-82.875,2026-05-11 23:34:24,,,36.2
2026-05-11,7.625,-82.625,2026-05-11 23:34:24,,,35.9
2026-05-11,7.625,-82.375,,,,
2026-05-11,7.625,-82.125,,,,
2026-05-11,7.875,-86.875,2026-05-11 23:36:32,3.5,343.20000000000005,347.20000000000005
2026-05-11,7.875,-86.625,2026-05-11 23:36:32,3.2,344.6,341.5
2026-05-11,7.875,-86.375,2026-05-11 23:36:32,3.14,350.8,340.40000000000003
2026-05-11,7.875,-86.125,2026-05-11 23:36:32,3.0100000000000002,354.5,342.70000000000005
2026-05-11,7.875,-85.875,2026-05-11 23:36:32,2.86,341.40000000000003,336.5
2026-05-11,7.875,-85.625,2026-05-11 23:36:32,2.89,336.90000000000003,335.5
2026-05-11,7.875,-85.375,2026-05-11 23:36:32,3.25,31.8,8.700000000000001
2026-05-11,7.875,-85.125,2026-05-11 23:36:32,3.12,39.6,22.8
2026-05-11,7.875,-84.875,2026-05-11 23:36:32,2.52,31.6,24.700000000000003
2026-05-11,7.875,-84.625,2026-05-11 23:36:32,2.05,47.5,35.300000000000004
2026-05-11,7.875,-84.375,2026-05-11 23:36:32,2.32,65.4,46.400000000000006
2026-05-11,7.875,-84.125,2026-05-11 23:36:32,2.7600000000000002,63.900000000000006,46.0
2026-05-11,7.875,-83.875,2026-05-11 23:36:32,2.96,72.0,50.900000000000006
2026-05-11,7.875,-83.625,2026-05-11 23:36:32,3.11,85.4,57.400000000000006
2026-05-11,7.875,-83.375,2026-05-11 23:34:24,,,54.1
2026-05-11,7.875,-83.125,2026-05-11 23:34:24,3.79,78.30000000000001,49.5
2026-05-11,7.875,-82.875,2026-05-11 23:34:24,,,51.300000000000004
2026-05-11,7.875,-82.625,,,,
2026-05-11,7.875,-82.375,,,,
